text;from;to;moment
Sculpture moderne audacieuse;;;
Poésie douce inspirante;;;
Roman passionnant captivant;;;
Restaurant chic raffiné;;;
Parc calme paisible;;;
Supermarché bondé animé;;;
Marché animé coloré;;;
Centre ville bruyant animé;;;
Banlieue tranquille paisible;;;
Métro bondé étouffant;;;
Train rapide efficace;;;
Bus bruyant encombré;;;
Avion rapide décollage;;;
Bateau lent croisière;;;
Hôtel luxueux élégant;;;
Chalet rustique confortable;;;
Tente confortable spacieuse;;;
Feu de camp crépitant;;;
Barbecue savoureux fumant;;;
Pique nique joyeux amical;;;
Anniversaire surprise inoubliable;;;
Mariage élégant somptueux;;;
Réunion importante cruciale;;;
Cérémonie solennelle respectueuse;;;
Diplôme mérité prestigieux;;;
Peux tu me dire comment aller de Cachemir à Lilaville  ;Cachemir;Lilaville;
Pourrais tu m'indiquer le chemin de Chantemer à Montbois  ;Chantemer;Montbois;
Comment se rendre de Bellecour à Maréchale  ;Bellecour;Maréchale;
Saurais tu comment rejoindre Montverde depuis Fleurdal  ;Montverde;Fleurdal;
Pourrais tu me guider de Valmont à Rochemont  ;Valmont;Rochemont;
Peux tu m'expliquer comment aller de Griselieu à Rochesurloire  ;Griselieu;Rochesurloire;
Comment se rendre de Montverger à Clairbois  ;Montverger;Clairbois;
Pourrais tu me dire le chemin de Beauchamp à Rochelac  ;Beauchamp;Rochelac;
Saurais tu comment rejoindre Laurétang depuis Valléebleue  ;Laurétang;Valléebleue;
Peux tu m'indiquer le trajet de Rochefeu à Brisedelac  ;Rochefeu;Brisedelac;
Comment se rendre de Charmesurmer à Hautesvagues  ;Charmesurmer;Hautesvagues;
Pourrais tu me guider de Montbrumeux à Cîmesurmont  ;Montbrumeux;Cîmesurmont;
Saurais tu comment aller de Rocherose à Lysdor  ;Rocherose;Lysdor;
Peux tu me dire le chemin de Rivageclair à Champsdore  ;Rivageclair;Champsdore;
Comment se rendre de Montsouris à Belleforêt  ;Montsouris;Belleforêt;
Peux tu m'indiquer comment aller de Valnont à Grisvilliers  ;Valnont;Grisvilliers;
Pourrais tu me guider de Montcourant à Rochelac  ;Montcourant;Rochelac;
J'aurais besoin de savoir le chemin de Pluvigny à Sainte Brézan ;Pluvigny;Sainte Brézan;
Comment rejoindre Saint Aubin de Bruneville depuis Marécieux  ;Saint Aubin de Bruneville;Marécieux;
Pourrais tu m'orienter de Belleplage à Champsuris  ;Belleplage;Champsuris;
Je cherche comment me rendre de Perchigny à Rocheflorin ;Perchigny;Rocheflorin;
Pourrais tu me dire comment aller de Vauvert le Château à Moulinsurin  ;Vauvert le Château;Moulinsurin;
J'aurais besoin de directions de Champvallon à Aigremont ;Champvallon;Aigremont;
Comment rejoindre Sainte Épinay depuis Forêtvaux  ;Sainte Épinay;Forêtvaux;
Peux tu m'indiquer le chemin de Blanchemont à Montaubert  ;Blanchemont;Montaubert;
Je cherche comment me rendre de Clairfont à Rochegris ;Clairfont;Rochegris;
Pourrais tu me guider de La Roche Fontaine à Vauloge  ;La Roche Fontaine;Vauloge;
J'aurais besoin de savoir le trajet de Belleneuve à Sainte Morel ;Belleneuve;Sainte Morel;
Comment rejoindre Saint Romande depuis Fontemblanc  ;Saint Romande;Fontemblanc;
Peux tu m'indiquer comment aller de Valleville à Châtelhaut  ;Valleville;Châtelhaut;
Pourrais tu me dire comment aller de Montmireau à La Borde les Prés  ;Montmireau;La Borde les Prés;
Je cherche comment me rendre de Villenoire à Portclerec ;Villenoire;Portclerec;
Comment rejoindre Saint Cyr en Bas depuis Rocheméroux  ;Saint Cyr en Bas;Rocheméroux;
J'aurais besoin de directions de Valmont le Château à Boisdelin ;Valmont le Château;Boisdelin;
Peux tu m'orienter de Grancheray à Le Pin au Lac  ;Grancheray;Le Pin au Lac;
Je cherche comment me rendre de Sainte Éloise à Champfleur ;Sainte Éloise;Champfleur;
Pourrais tu me dire comment aller de Rocheclaire à Montségur les Bois  ;Rocheclaire;Montségur les Bois;
Comment rejoindre Saint Pierre de Boissac depuis Montfleuron  ;Saint Pierre de Boissac;Montfleuron;
J'aurais besoin de savoir le chemin de Valleneuf à La Roche de l'Orne ;Valleneuf;La Roche de l'Orne;
Peux tu m'indiquer le chemin de Belleroche à Champduneuf  ;Belleroche;Champduneuf;
Je cherche comment me rendre de Châteauvert le Bois à Sainte Croix du Val ;Châteauvert le Bois;Sainte Croix du Val;
Pourrais tu me guider de Rochegrange à Les Fontaines en Val  ;Rochegrange;Les Fontaines en Val;
J'aurais besoin de directions de Graville sur Mer à Montaubin ;Graville sur Mer;Montaubin;
Comment rejoindre Saint Martin d'Étoile depuis Valcouronne  ;Saint Martin d'Étoile;Valcouronne;
Peux tu m'indiquer comment aller de Fontecourt à La Roche sur Vingeanne  ;Fontecourt;La Roche sur Vingeanne;
Je cherche comment me rendre de Valrose à Le Pin au Perche ;Valrose;Le Pin au Perche;
Pourrais tu me dire comment aller de Montlouise à La Roche en Brie  ;Montlouise;La Roche en Brie;
J'aurais besoin de savoir le trajet de Belleval sur Lac à Sainte Éloise ;Belleval sur Lac;Sainte Éloise;
Comment rejoindre Saint Pierre sur Verdon depuis Rochefonte  ;Saint Pierre sur Verdon;Rochefonte;
Peux tu m'indiquer le chemin de Vallesaigne à Grangeblanc  ;Vallesaigne;Grangeblanc;
Je cherche comment me rendre de Saint Rochesur Oise à La Roche sur Chantereine ;Saint Rochesur Oise;La Roche sur Chantereine;
Pourrais tu me guider de Montlouvières à Sainte Marguerite en Ville  ;Montlouvières;Sainte Marguerite en Ville;
J'aurais besoin de directions de Bellenoir à Rochefontaine ;Bellenoir;Rochefontaine;
Comment rejoindre Saint Claude sur Meuse depuis Vallemont  ;Saint Claude sur Meuse;Vallemont;
Peux tu m'orienter de Montverdon à Châteaublanc  ;Montverdon;Châteaublanc;
Je cherche comment me rendre de Rochecorail à Valléracine ;Rochecorail;Valléracine;
Pourrais tu me dire comment aller de Sainte Geneviève sur Verde à Valleville  ;Sainte Geneviève sur Verde;Valleville;
J'aurais besoin de savoir le chemin de Griseuil à Belleneuf ;Griseuil;Belleneuf;
Comment rejoindre Sainte Brune à La Roche aux Pommiers  ;Sainte Brune;La Roche aux Pommiers;
Peux tu m'indiquer comment aller de Montfert sur Loire à Rochefond  ;Montfert sur Loire;Rochefond;
Je cherche comment me rendre de Valcouronne à Belleval en Ville ;Valcouronne;Belleval en Ville;
Pourrais tu me guider de Montségur le Bois à Sainte Marie en Ville  ;Montségur le Bois;Sainte Marie en Ville;
J'aurais besoin de directions de Rochelac à Saint Pierre les Bois ;Rochelac;Saint Pierre les Bois;
Comment rejoindre Sainte Croix des Champs depuis Montclerre  ;Sainte Croix des Champs;Montclerre;
Peux tu m'indiquer le chemin de Valmont l'Étang à Belleplage  ;Valmont l'Étang;Belleplage;
J'aimerais savoir le chemin de Pluvigny à Sainte Brézan ;Pluvigny;Sainte Brézan;
Peux tu m'orienter de Belleplage à Champsuris  ;Belleplage;Champsuris;
Pourrais tu me dire comment aller de La Roche Fontaine à Vauloge  ;La Roche Fontaine;Vauloge;
J'aurais besoin de directions de Villenoire à Portclerec ;Villenoire;Portclerec;
Peux tu m'orienter de Valmont le Château à Boisdelin  ;Valmont le Château;Boisdelin;
Je cherche comment me rendre de Valmont le Château à Boisdelin ;Valmont le Château;Boisdelin;
Pourrais tu m'indiquer comment aller de Blanchemont à Montaubert  ;Blanchemont;Montaubert;
Je cherche comment me rendre de Valnont à Grisvilliers  ;Valnont;Grisvilliers;
Pourrais tu me dire comment aller de Montcourant à Rochelac  ;Montcourant;Rochelac;
Peux tu m'indiquer le chemin de Clairfont à Rochegris  ;Clairfont;Rochegris;
Je cherche comment me rendre de La Roche Fontaine à Vauloge  ;La Roche Fontaine;Vauloge;
Je cherche comment me rendre de Valmont le Château à Boisdelin  ;Valmont le Château;Boisdelin;
De Grisvilliers à Valnont  comment puis je me rendre  ;Grisvilliers;Valnont;
De Rochelac à Montcourant  peux tu me guider  ;Rochelac;Montcourant;
De Sainte Brézan à Pluvigny  j'aimerais savoir le chemin ;Sainte Brézan;Pluvigny;
De Rocheflorin à Montmireau  comment rejoindre  ;Rocheflorin;Montmireau;
De Valleville à Champvallon  peux tu m'orienter  ;Valleville;Champvallon;
De Champsuris à Belleplage  je cherche comment me rendre ;Champsuris;Belleplage;
De Sainte Brézan à Perchigny  pourrais tu me dire comment aller  ;Sainte Brézan;Perchigny;
De Moulinsurin à Vauvert le Château  j'aurais besoin de directions ;Moulinsurin;Vauvert le Château;
De Aigremont à Champvallon  comment rejoindre  ;Aigremont;Champvallon;
De Valleneuf à La Roche Fontaine  peux tu m'indiquer le chemin  ;Valleneuf;La Roche Fontaine;
De Belleplage à Valmont l'Étang  je cherche comment me rendre ;Belleplage;Valmont l'Étang;
De Rochefond à Montfert sur Loire  pourrais tu me dire comment aller  ;Rochefond;Montfert sur Loire;
De Sainte Marie en Ville à Montségur le Bois  j'aurais besoin de directions ;Sainte Marie en Ville;Montségur le Bois;
De Saint Pierre les Bois à Rochelac  comment rejoindre  ;Saint Pierre les Bois;Rochelac;
De Montclerre à Sainte Croix des Champs  peux tu m'indiquer le chemin  ;Montclerre;Sainte Croix des Champs;
De Belleval en Ville à Valcouronne  je cherche comment me rendre ;Belleval en Ville;Valcouronne;
Comment aller à Grisvilliers depuis Valnont  ;Grisvilliers;Valnont;
Peux tu me guider vers Rochelac depuis Montcourant  ;Rochelac;Montcourant;
J'aimerais savoir le chemin de Sainte Brézan à Pluvigny ;Sainte Brézan;Pluvigny;
Comment rejoindre Montmireau depuis Rocheflorin  ;Montmireau;Rocheflorin;
Peux tu m'orienter vers Champvallon depuis Vauvert le Château  ;Champvallon;Vauvert le Château;
Je cherche comment me rendre à Champsuris depuis Belleplage ;Champsuris;Belleplage;
Pourrais tu me dire comment aller à Perchigny depuis Sainte Brézan  ;Perchigny;Sainte Brézan;
J'aurais besoin de directions vers Aigremont depuis Valleneuf ;Aigremont;Valleneuf;
Comment rejoindre Forêtvaux depuis Sainte Épinay  ;Forêtvaux;Sainte Épinay;
Peux tu m'indiquer le chemin de Montaubert depuis Blanchemont  ;Montaubert;Blanchemont;
Je cherche comment me rendre à Rochegris depuis Clairfont ;Rochegris;Clairfont;
Pourrais tu me dire comment aller à Vauloge depuis La Roche Fontaine  ;Vauloge;La Roche Fontaine;
J'aurais besoin de directions vers Moulinsurin depuis Vauvert le Château  ;Moulinsurin;Vauvert le Château;
Comment rejoindre Montségur le Bois depuis Sainte Marie en Ville  ;Montségur le Bois;Sainte Marie en Ville;
Peux tu m'orienter vers Rochelac depuis Saint Pierre les Bois  ;Rochelac;Saint Pierre les Bois;
Je cherche comment me rendre à Sainte Croix des Champs depuis Montclerre  ;Sainte Croix des Champs;Montclerre;
Pourrais tu me dire comment aller à Montfert sur Loire depuis Rochefond  ;Montfert sur Loire;Rochefond;
J'aurais besoin de directions vers Sainte Morel depuis Belleval en Ville  ;Sainte Morel;Belleval en Ville;
Comment rejoindre Valcouronne depuis Rochefond  ;Valcouronne;Rochefond;
Peux tu m'indiquer le chemin vers Montaubert depuis Blanchemont  ;Montaubert;Blanchemont;
Je cherche comment me rendre à Grisvilliers depuis Valnont  ;Grisvilliers;Valnont;
Pourrais tu me dire comment aller à Rochelac depuis Montcourant  ;Rochelac;Montcourant;
J'aurais besoin de directions vers Sainte Brézan depuis Pluvigny  ;Sainte Brézan;Pluvigny;
Comment rejoindre Rocheflorin depuis Montmireau  ;Rocheflorin;Montmireau;
Peux tu m'orienter vers Vauvert le Château depuis Champvallon  ;Vauvert le Château;Champvallon;
Je cherche comment me rendre à Belleplage depuis Champsuris  ;Belleplage;Champsuris;
Pourrais tu me dire comment aller à Sainte Brézan depuis Perchigny  ;Sainte Brézan;Perchigny;
J'aurais besoin de directions vers Valleneuf depuis Aigremont  ;Valleneuf;Aigremont;
Peux tu m'indiquer le chemin vers Blanchemont depuis Montaubert  ;Blanchemont;Montaubert;
Je cherche comment me rendre à Clairfont depuis Rochegris  ;Clairfont;Rochegris;
Pourrais tu me dire comment aller à La Roche Fontaine depuis Vauloge  ;La Roche Fontaine;Vauloge;
J'aurais besoin de directions vers Vauvert le Château depuis Moulinsurin  ;Vauvert le Château;Moulinsurin;
Comment rejoindre Sainte Marie en Ville depuis Montségur le Bois  ;Sainte Marie en Ville;Montségur le Bois;
Peux tu m'orienter vers Saint Pierre les Bois depuis Rochelac  ;Saint Pierre les Bois;Rochelac;
Je cherche comment me rendre à Montclerre depuis Sainte Croix des Champs  ;Montclerre;Sainte Croix des Champs;
Pourrais tu me dire comment aller à Rochefond depuis Montfert sur Loire  ;Rochefond;Montfert sur Loire;
J'aurais besoin de directions vers Belleval en Ville depuis Sainte Morel  ;Belleval en Ville;Sainte Morel;
Comment rejoindre Rochefond depuis Valcouronne  ;Rochefond;Valcouronne;
Je cherche comment me rendre à Valnont depuis Grisvilliers  ;Valnont;Grisvilliers;
Pourrais tu me dire comment aller à Montcourant depuis Rochelac  ;Montcourant;Rochelac;
J'aurais besoin de directions vers Pluvigny depuis Sainte Brézan  ;Pluvigny;Sainte Brézan;
Je cherche comment me rendre à Champsuris depuis Belleplage  ;Champsuris;Belleplage;
J'aurais besoin de directions vers Aigremont depuis Valleneuf  ;Aigremont;Valleneuf;
De Vauglenoir à Sainte Pluvier;Vauglenoir;Sainte Pluvier;
De Montvermeil à La Roche aux Chênes;Montvermeil;La Roche aux Chênes;
De Bellefontaine à Grisvaldès;Bellefontaine;Grisvaldès;
De Sainte Clairière à Vallevignes;Sainte Clairière;Vallevignes;
De Rochepierre à Montlucé;Rochepierre;Montlucé;
De Sainte Marigot à Montverdoyant;Sainte Marigot;Montverdoyant;
De Vauxverd à Montchâteau;Vauxverd;Montchâteau;
De Châtenay sous Bois à Belleclaire;Châtenay sous Bois;Belleclaire;
De Valsoleil à Rochefleur;Valsoleil;Rochefleur;
De Montverdoyant à La Roche aux Chênes;Montverdoyant;La Roche aux Chênes;
De Grisvaldès à Bellefontaine;Grisvaldès;Bellefontaine;
De Sainte Pluvier à Vauglenoir;Sainte Pluvier;Vauglenoir;
De Montchâteau à Vauxverd;Montchâteau;Vauxverd;
De Belleclaire à Châtenay sous Bois;Belleclaire;Châtenay sous Bois;
De Rochefleur à Valsoleil;Rochefleur;Valsoleil;
Vauglenoir Sainte Pluvier;Vauglenoir;Sainte Pluvier;
Montvermeil La Roche aux Chênes;Montvermeil;La Roche aux Chênes;
Bellefontaine Grisvaldès;Bellefontaine;Grisvaldès;
Sainte Clairière Vallevignes;Sainte Clairière;Vallevignes;
Rochepierre Montlucé;Rochepierre;Montlucé;
Sainte Marigot Montverdoyant;Sainte Marigot;Montverdoyant;
Vauxverd Montchâteau;Vauxverd;Montchâteau;
Belleclaire Châtenay sous Bois;Belleclaire;Châtenay sous Bois;
Valsoleil Rochefleur;Valsoleil;Rochefleur;
Montverdoyant La Roche aux Chênes;Montverdoyant;La Roche aux Chênes;
Grisvaldès Bellefontaine;Grisvaldès;Bellefontaine;
Sainte Pluvier Vauglenoir;Sainte Pluvier;Vauglenoir;
Rochefleur Valsoleil;Rochefleur;Valsoleil;
Vauglenoir à Sainte Pluvier;Vauglenoir;Sainte Pluvier;
Montvermeil à La Roche aux Chênes;Montvermeil;La Roche aux Chênes;
Bellefontaine à Grisvaldès;Bellefontaine;Grisvaldès;
Sainte Clairière à Vallevignes;Sainte Clairière;Vallevignes;
Rochepierre à Montlucé;Rochepierre;Montlucé;
Sainte Marigot à Montverdoyant;Sainte Marigot;Montverdoyant;
Vauxverd à Montchâteau;Vauxverd;Montchâteau;
Belleclaire à Châtenay sous Bois;Belleclaire;Châtenay sous Bois;
Valsoleil à Rochefleur;Valsoleil;Rochefleur;
Montverdoyant à La Roche aux Chênes;Montverdoyant;La Roche aux Chênes;
Grisvaldès à Bellefontaine;Grisvaldès;Bellefontaine;
Sainte Pluvier à Vauglenoir;Sainte Pluvier;Vauglenoir;
Rochefleur à Valsoleil;Rochefleur;Valsoleil;
Comment aller de Rochepierre à Montlucé  ;Rochepierre;Montlucé;
Je cherche le chemin de Sainte Marigot à Montverdoyant ;Sainte Marigot;Montverdoyant;
De Montchâteau à Vauxverd  comment rejoindre  ;Montchâteau;Vauxverd;
Peux tu m'orienter pour aller de Belleclaire à Châtenay sous Bois  ;Belleclaire;Châtenay sous Bois;
J'aurais besoin de directions pour aller de Rochefleur à Valsoleil ;Rochefleur;Valsoleil;
Comment puis je rejoindre Montverdoyant depuis La Roche aux Chênes  ;Montverdoyant;La Roche aux Chênes;
Pourrais tu me guider de Vauglenoir à Sainte Pluvier  ;Vauglenoir;Sainte Pluvier;
Je cherche le meilleur itinéraire pour aller de Grisvaldès à Bellefontaine ;Grisvaldès;Bellefontaine;
De Vallevignes à Sainte Clairière  quel est le chemin le plus rapide  ;Vallevignes;Sainte Clairière;
Peux tu me dire comment me rendre de Montlucé à Rochepierre  ;Montlucé;Rochepierre;
J'aimerais trouver un moyen de me rendre de Montverdoyant à Sainte Marigot ;Montverdoyant;Sainte Marigot;
